name,street_address,city,state_abbr,zip,phone_no,status,expected_date,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,open_date,ev_connector_types
King's Cottage Bed and Breakfast,1049 E King St,Lancaster,PA,17602,717-397-1017  877-798-3752,E,,Public,Tesla,40.0395786,-76.2814028,68452,P,,,4/1/15,TESLA J1772
STATION 1,805 Fraternity Road,Lewisburg,PA,17837,888-758-4389,E,,Public,ChargePoint Network,40.9530397,-76.881343,58329,,,,,J1772
1 Hotel South Beach - Tesla,2341 Collins Ave,Miami Beach,FL,33139,305-604-1000  877-798-3752,E,,Public,Tesla,25.7991193,-80.1277107,75036,P,,,3/1/16,TESLA
One - Hundred - Mill,100 S. Mill Ave.,Tempe,AZ,85281,888-998-2546,E,,Public,Blink Network,33.429212,-111.940812,73157,,,,,J1772
Westar Energy - Wichita System Control Center,777 W Central Ave,Wichita,KS,67203,800-383-1183,E,,Private,,37.691279,-97.346731,64541,T,,,12/1/13,J1772
JF5 Station E,2111  NE 25th Ave,Hillsboro,OR,97124,888-998-2546,E,,Private,GE WattStation,45.54135102,-122.9622336,72898,,,,,J1772
UMN,219 Washington Ave SE,Minneapolis,MN,55455,888-758-4389,E,,Public,ChargePoint Network,44.9740066,-93.2448241,62426,,,,,J1772
The Orchard Inn - Tesla,100 Orchard Inn Ln,Saluda,NC,28773,828-749-5471  877-798-3752,E,,Public,Tesla,35.2293326,-82.3348089,72168,P,,,11/1/15,TESLA
Nissan of Burleson,300 N Burleson Blvd,Burleson,TX,76028,817-484-3500,E,,Public - Call ahead,,32.5478168,-97.3150685,49727,P,,,10/25/12,J1772
CITY OF NOVATO,950 7th St,Novato,CA,94945,888-758-4389,E,,Public,ChargePoint Network,38.108345,-122.5777438,51219,,,,,NEMA520 J1772
MONTEFIOREMOSES,613 E 233rd St,Bronx,NY,10466,888-758-4389,E,,Public,ChargePoint Network,40.894881,-73.860525,53110,,,,,J1772
Whole Foods Market,711 University Ave,San Diego,CA,92103,619-294-2800,E,,Public,,32.747958,-117.158052,70567,P,,,10/1/12,J1772
800 King Farm,800 King Farm Boulevard  Rockville,Rockville,MD,20850,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,39.1102166,-77.1818813,66689,,,,,J1772
DUBUQUE BMW,600 Century Dr,Dubuque,IA,52002,888-758-4389,E,,Public,ChargePoint Network,42.4926332,-90.72567,65471,,,,,J1772
Loews Santa Monica Beach Hotel,1700 Ocean Ave,Santa Monica,CA,90401,310-458-6700  877-798-3752,E,,Public,Tesla,34.00907,-118.4928,21575,P,,,9/14/12,J1772 TESLA
Kwik Trip #463,100 Jefferson Dr E,Zumbrota,MN,55992,507-732-5099,E,,Public,,44.2826974,-92.6671938,42394,P,,,11/15/11,NEMA520
EAST MONTPELIER,US Route 2 park&ride;,Montpelier,VT,5660,888-758-4389,E,,Public,ChargePoint Network,44.27197,-72.48559,71041,,,,,J1772
PUBLIC STATIONS,1700 14th St.,Denver,CO,80204,888-758-4389,E,,Public,ChargePoint Network,39.7497929,-105.0038734,67995,,,,,J1772
FRED MEYER - #393 Tualatin,19200 SW Martinazzi,Tualatin,OR,97062,888-998-2546,E,,Public,Blink Network,45.381402,-122.758966,62359,,,,,CHADEMO J1772
West Herr Nissan Williamsville,8137 Main St,Williamsville,NY,14221,877-813-5387,E,,Public - Call ahead,,42.9649497,-78.6918473,44216,P,,,11/30/11,J1772
CITY OF AURORA,15151 E Alameda Pkwy,Aurora,CO,80012,888-758-4389,E,,Public,ChargePoint Network,39.7110634,-104.8124705,60415,,,,,J1772
"Walgreens - Marietta, GA #1646",23 S Marietta Pkwy,Marietta,GA,30064,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,33.951817,-84.551523,45923,,,,,J1772
Ina Levine Jewish Community Center,12701 N. Scottsdale Road Suite 120,Scottsdale,AZ,85254,888-998-2546,E,,Public,Blink Network,33.602592,-111.924956,48342,,,,,J1772
Mossy Nissan,2700 National City Blvd,National City,CA,91950,619-474-7011,E,,Private,,32.659037,-117.101114,48154,P,,,3/15/11,J1772
NATIONAL GRID,460 Harris Ave,Providence,RI,2909,888-758-4389,E,,Public,ChargePoint Network,41.8231819,-71.4362361,52823,,,,,J1772
City Center Merchants Walk Garage,11860 Merchants Walk,Newport News,VA,23606,800-663-5633,E,,Public,SemaCharge Network,37.087066,-76.475128,62154,,,,,J1772
LENKIN CO 1133,1133 Connecticut Ave NW,Washington,DC,20036,888-758-4389,E,,Public,ChargePoint Network,38.9049717,-77.0401591,56565,,,,,NEMA520 J1772
BMW BRIDGEPORT,43 North Ave,Bridgeport,CT,6606,888-758-4389,E,,Public,ChargePoint Network,41.2020685,-73.1897466,60406,,,,,J1772
WEST 8TH,1430 8th Street,Golden,CO,80401,888-758-4389,E,,Public,ChargePoint Network,39.755555,-105.2321874,63011,,,,,J1772
Renton City Hall - Public Access,1055 S Grady Way,Renton,WA,98057,425-430-6600,E,,Public,,47.4747184,-122.2047135,43796,LG,,,12/28/11,J1772
LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,,E,,Private - Government only,,34.0820573,-118.2171527,33179,LG,,,10/15/99,J1772
COA FACILITIES,7201 Levander Loop,Austin,TX,78702,888-758-4389,E,,Public,ChargePoint Network,30.2527847,-97.6904186,41265,,,,,NEMA520 J1772
IRVINE CO OFC,101 W Broadway,San Diego,CA,92101,888-758-4389,E,,Public,ChargePoint Network,32.7151174,-117.1642155,63166,,,,,J1772
Burton Barr Library,1221 N Central Ave,Phoenix,AZ,85004,888-998-2546,E,,Public,Blink Network,33.46327,-112.073321,45335,,,,,J1772
Nissan of Mission Hills,11000 Sepulveda Blvd,Mission Hills,CA,91345,818-838-4444,E,,Public - Call ahead,,34.2705668,-118.4671724,39910,P,,,3/15/11,J1772
Crown Nissan of Decatur,165 W Pershing Rd,Decatur,IL,62526,217-877-4440,E,,Private,,39.8764863,-88.9582454,46814,P,,,1/31/12,J1772
Metropolitan,19503 Stevens Creek,Cupertino,CA,95014,,P,5/1/16,PLANNED - not yet accessible (Public),,37.32335,-122.01225,72022,LG,,,,J1772
COBB COUNTY,4400 Lower Roswell Rd,Marietta,GA,30068,888-758-4389,E,,Public,ChargePoint Network,33.9631847,-84.4235447,66514,,,,,J1772
Ray Brandt Nissan,4000 Lapalco Blvd,Harvey,LA,70058,504-367-1666,E,,Private,,29.874359,-90.0882399,49804,P,,,10/25/12,J1772
Hampton Inn & Suites- Trophy Club,525 Plaza Drive,Trophy Club,TX,76262,888-998-2546,E,,Public,Blink Network,32.985878,-97.168633,51567,,,,,J1772
EVSP WALGREENS,9200 Elk Grove Florin Rd,Elk Grove,CA,95624,888-758-4389,E,,Public,ChargePoint Network,38.4226339,-121.372279,68866,,,,,J1772
City of Seaside - Tesla,25 Central Square,Santa Rosa Beach,FL,32459,850-232-6107  877-798-3752,E,,Public,Tesla,30.3204555,-86.1383847,75073,P,,,2/1/16,TESLA
Porter Medical Center,115 porter drive,Middlebury,VT,5753,877-455-3833,E,,Public - Card key at all times,eVgo Network,43.9997673,-73.16853333,70101,,,,,J1772
Choice Hotels - Cambria Suites,255 Munson Ave,Traverse City,MI,49686,231-778-9000,E,,Public,,44.7625323,-85.5855122,43329,P,,,2/1/12,J1772
American Power Net Office,45 Commerce Dr,Wyomissing,PA,19610,610-372-8500,E,,Public,,40.3473443,-75.9892741,49201,P,,,8/15/12,J1772
Imperial Garage - 340 East 34th St - Station 2,342  E 34th St,New York,NY,10016,888-998-2546,E,,Public,GE WattStation,40.7440113,-73.9741155,73118,,,,,J1772
Hayward F&E,19691 Hesperian Blvd,Hayward,CA,94541,877-455-3833,E,,Public - Card key at all times,eVgo Network,37.66758347,-122.1192932,69387,,,,,CHADEMO J1772COMBO
Scottsdale Waterfront,"7135 E. Camelback Road, Suite 155",Scottsdale,AZ,85251,888-998-2546,E,,Public,Blink Network,33.501982,-111.927618,50142,,,,,J1772
NATIONAL GRID,2080 Western Ave,Guilderland,NY,12084,888-758-4389,E,,Public,ChargePoint Network,42.6985046,-73.8922044,52286,,,,,J1772
TACOMA PARKS,Five Mile Dr,Tacoma,WA,98407,888-758-4389,E,,Public,ChargePoint Network,47.3038902,-122.5209427,49409,,,,,NEMA520 J1772
Park Meadows Mall - Tesla,8401 Park Meadows Center Dr,Lone Tree,CO,80124,877-798-3752,E,,Public,Tesla,39.56427,-104.87598,60729,P,,,3/1/14,TESLA
Hotel Indigo,500 College Ave,Athens,GA,30601,706-546-0430  877-798-3752,E,,Public,Tesla,33.962319,-83.376296,54072,P,,,9/1/13,J1772 TESLA
Milan Capital Management,6400 Laurel Cyn,North Hollywood,CA,91602,888-998-2546,E,,Public,Blink Network,34.187004,-118.395935,63508,,,,,J1772
Civic Center,210 Albert Gallatin Avenue,Gallatin,TN,37066,888-998-2546,E,,Public,Blink Network,36.404584,-86.443991,48774,,,,,J1772
PARK PLACE APTS,7212 Ralston Rd,Arvada,CO,80002,888-758-4389,E,,Public,ChargePoint Network,39.8015337,-105.0775144,70629,,,,,J1772
Hilton Garden Inn - Tesla,3528 Gateway St,Springfield,OR,97477,541-736-3000  877-798-3752,E,,Public,Tesla,44.0851957,-123.0430031,73758,P,,,2/1/16,TESLA
Blogoslawski Parking Garage,10 Franklin Square,New Britain,CT,6051,860-827-2935,E,,Public,,41.6643566,-72.7788286,70503,LG,,,8/20/15,J1772
Harmony Farms Supply and Nursery,3244 Highway 116 N,Sebastopol,CA,95472,707-823-9125,T,,TEMPORARILY UNAVAILABLE (Public),,38.368632,-122.783711,70577,P,,,,J1772
Hawthorn Suites by Wyndham - Addison/Galleria,15200 Addison Rd,Addison,TX,75001,888-998-2546,E,,Public,Blink Network,32.95669515,-96.8293608,50189,,,,,J1772
CPSE-SATX,17703 W IH 10,San Antonio,TX,78257,888-758-4389,E,,Public,ChargePoint Network,29.6083941,-98.5992172,56487,,,,,J1772
Paris Autobarn LLC,161 E Main St,South Paris,ME,4281,207-744-2169,E,,Public,,44.220463,-70.500434,68888,P,,,7/1/15,J1772
Carrollton Inn,50 Albermarle St,Baltimore,MD,21202,410-685-1109,E,,Public,,39.2886539,-76.6040848,72526,P,,,1/1/16,J1772
NRG eVgo - Walgreens Freedom Station,3802 Cedar Springs Rd,Dallas,TX,75219,877-455-3833,E,,Public - Card key at all times,eVgo Network,32.80966,-96.8087,47102,P,,,7/20/12,J1772 CHADEMO
Pischke Motors Nissan,517 S 3rd St,La Crosse,WI,54601,608-791-3000,E,,Public - Call ahead,,43.808274,-91.252972,47897,P,,,1/31/12,J1772
Street Parking,1113 W Alameda Ave,Burbank,CA,91506,855-900-7584,E,,Public,Greenlots,34.1628852,-118.3142265,74145,P,,,1/1/16,J1772
The Hartford Financial Services Group,1 Griffin Rd N,Windsor,CT,6095,888-758-4389,E,,Private,,41.879631,-72.729919,37681,P,,,4/1/11,NEMA520 J1772
GE WattStation,49  Madbury Rd,Durham,NH,3824,888-998-2546,E,,Public,GE WattStation,43.1395071,-70.9262142,72792,,,,,J1772
Capital One - Meadowville,12730 N Kingston Ave,Chester,VA,23836,,E,,Private,,37.354223,-77.341085,68585,P,,,9/20/13,J1772
Town of Bennington,205 South Street,Bennington,VT,5201,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,42.8773634,-73.197735,73912,,,,,J1772
Caltrans District 4 - Maintenance Station,2616 N Main St ,Walnut Creek,CA,94597,,E,,Private,,37.919682,-122.063846,71879,SG,,,5/1/15,J1772
Sunbelt Nissan,3300 Washington Rd,Augusta,GA,30907,706-854-1000,E,,Public - Call ahead,,33.514777,-82.067748,46643,P,,,1/31/12,J1772
CORP CENTER 1&2,1033 Skokie Blvd,Northbrook,IL,60062,888-758-4389,E,,Public,ChargePoint Network,42.1335706,-87.7871752,55686,,,,,J1772
PETTEE BROOK,Pettee Brook Lane,Durham,NH,3824,888-758-4389,E,,Public,ChargePoint Network,43.1356716,-70.9266983,69752,,,,,J1772
Sharp-Frost Street,7901 Frost Street,San Diego,CA,92123,888-998-2546,E,,Public,Blink Network,32.799493,-117.153944,49146,,,,,J1772
SWINERTON,16798 W Bernardo Dr,San Diego,CA,92127,888-758-4389,E,,Public,ChargePoint Network,33.0183449,-117.0829544,60529,,,,,J1772
Greenville Zoo,150 Cleveland Park Dr,Greenville,SC,29601,864-467-4300,E,,Public,,34.847168,-82.385809,38302,LG,,,3/15/11,J1772
Lili Properties,936 Mayson Turner Road,Atlanta,GA,30314,888-998-2546,E,,Public,Blink Network,33.758312,-84.4178769,54301,,,,,J1772
Providence - Pacific Campus,916 Pacific Ave,Everett,WA,98201,888-998-2546,E,,Public,Blink Network,47.975553,-122.216509,50933,,,,,J1772
ALFALFAS MARKET,1723-1799 Centennial Dr,Louisville,CO,80027,888-758-4389,E,,Public,ChargePoint Network,39.9873424,-105.1333692,62379,,,,,J1772
CITY OF EDMONDS,20 6th Ave. S,Edmonds,WA,98020,888-758-4389,E,,Public,ChargePoint Network,47.810276,-122.3749466,52557,,,,,NEMA520 J1772
MAIN PLAZA,1920 Main St,Irvine,CA,92614,888-758-4389,E,,Public,ChargePoint Network,33.6841778,-117.852559,62856,,,,,J1772
Piedmont Nissan,3510 Clemson Blvd,Anderson,SC,29621,864-328-1188,E,,Private,,34.550581,-82.674657,47067,P,,,1/31/12,J1772
Halstead Square,2750 Gallows Road,Vienna,VA,22180,800-663-5633,E,,Public,SemaCharge Network,38.8786822,-77.228186,40770,,,,,J1772
Walgreens Store #7677,1502 LAKE TAPPS PKWY SE,AUBURN,WA,98092,888-998-2546,E,,Public,Blink Network,47.245269,-122.206909,62605,,,,,CHADEMO J1772
Baptist Health - South Miami Hospital,6200 SW 73rd St,South Miami,FL,33143,,E,,Private,,25.70218849,-80.29307556,43136,P,,,1/15/12,J1772
Cracker Barrel 470 Gallatin,1005 Village Green Crossing,Gallatin,TN,37066,888-998-2546,E,,Public,Blink Network,36.37842,-86.47139,45061,,,,,J1772
Expresso Airport Parking,880 Doolittle Dr,San Leandro,CA,94577,800-820-8626,E,,Public,,37.7198988,-122.1889901,65677,P,,,11/8/10,NEMA515 J1772
Main Line Animal Rescue,1149 Pike Springs Road,Phoenixville,PA,19460,888-998-2546,E,,Public,Blink Network,40.110611,-75.589872,51543,,,,,J1772
Four Brothers Drive In,4957 Route 22,Amenia,NY,12501,888-998-2546,E,,Public,Blink Network,41.850398,-73.557933,66934,,,,,J1772
Central Parking - 58 West 58th St- Station 2,58  W 58th St,New York,NY,10019,888-998-2546,E,,Public,GE WattStation,40.7646555,-73.97610053,72895,,,,,J1772
"Walgreens - Clarksville, MD #10539",12400 Auto Drive,Clarksville,MD,21029,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,39.209188,-76.941111,71527,,,,,J1772
Port d'Hiver Bed & Breakfast - Tesla,201 Ocean Blvd,Melbourne,FL,32951,321-722-2727  877-798-3752,E,,Public,Tesla,28.06829,-80.5577124,67153,P,,,4/1/15,TESLA
KCP&L,11401 Lamar Ave @ Black and Veatch,Overland Park,KS,66211,888-758-4389,E,,Public,ChargePoint Network,38.9243559,-94.6578154,66587,,,,,J1772
Wines of Oregon,60675 NW Sunset Hwy,Timber,OR,97144,888-998-2546,E,,Public,Blink Network,45.760152,-123.300903,48302,,,,,J1772
University of California Davis - Institute of Transportation Studies,1605 Tilia St,Davis,CA,95616,530-752-2570,E,,Public,,38.54215,-121.771,51002,P,,,1/25/13,J1772
BMW OPEN ROAD,840 Rte 46 Ken,Roxbury Township,NJ,7847,888-758-4389,E,,Public,ChargePoint Network,40.8785042,-74.6356849,62609,,,,,J1772
DIRITO BROTHERS,2020 N Main St,Walnut Creek,CA,94596,888-758-4389,E,,Public,ChargePoint Network,37.9073958,-122.0639879,74679,,,,,J1772COMBO
Sleep Inn - Ocala,13600 SW 17 Ct,Ocala,FL,34473,855-900-7584,E,,Public,Greenlots,29.0243773,-82.1556775,68327,P,,,11/1/14,CHADEMO J1772COMBO
Tarrytown Metro - North Train Station,4173 Green St,Tarrytown,NY,10591,914-631-7873,E,,Public,EV Connect,41.0759215,-73.8650211,65271,SG,,,11/1/14,J1772
JATC LU43,4566 Waterhouse Rd,Liverpool,NY,13090,888-758-4389,E,,Public,ChargePoint Network,43.1630429,-76.1985506,62145,,,,,J1772
Sleep Inn and Mainstay Suites,Old Allatoona Road Southeast,Cartersville,GA,30121,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,34.1134909,-84.7301802,70719,,,,,J1772
GW UNIVERSITY,I St NW,Washington,DC,20037,888-758-4389,E,,Public,ChargePoint Network,38.9005928,-77.0481644,66711,,,,,NEMA520 J1772
National Grid,245 S Main St,Hopedale,MA,1747,,E,,Private,,42.1168655,-71.511619,73237,P,,,1/1/16,J1772
Berlin City Nissan,485 Main St,Gorham,NH,3581,603-752-6644,E,,Private,,44.4233868,-71.1941538,49895,P,,,10/25/12,J1772
University of Connecticut - North Parking Garage,103 Eagleville Rd,Storrs,CT,6269,860-486-3056,E,,Public,,41.800922,-72.241321,70499,SG,,,5/1/15,J1772
ATLANTIC VW,555 W Sunrise Hwy,West Islip,NY,11795,888-758-4389,E,,Public,ChargePoint Network,40.72527,-73.29118,65314,,,,,J1772
LYNCHBURG BMW,19598 Forest Rd,Lynchburg,VA,24501,888-758-4389,E,,Public,ChargePoint Network,37.3959879,-79.2288912,74297,,,,,J1772
Pacific Palms Resort - Tesla,1 Industry Hills Pkwy,City of Industry,CA,91744,626-810-4455  877-798-3752,E,,Public,Tesla,34.0204405,-117.9269919,70348,P,,,6/1/15,TESLA
PRUDENTIAL CTR,800 Boylston St,Boston,MA,2115,888-758-4389,E,,Public,ChargePoint Network,42.3472241,-71.0878916,43859,,,,,J1772
NATIONAL GRID,950 Succotash Rd,South Kingstown,RI,2879,888-758-4389,E,,Public,ChargePoint Network,41.377485,-71.524399,52598,,,,,J1772
Walgreens,"106 W. Parkway Blvd,",Coppell,TX,75019,877-455-3833,E,,Public - Card key at all times,eVgo Network,32.97683716,-96.99428558,74829,,,,,J1772COMBO
Ed Martin Nissan of Fishers,13397 Britton Park Rd,Fishers,IN,46038,317-863-2424,E,,Public - Call ahead,,39.983606,-86.0051919,47148,P,,,1/31/12,J1772 CHADEMO
South County Regional Center,500 3rd Ave,Chula Vista,CA,91910,619-746-6200  619-450-5700,E,,Public,,32.632747,-117.077726,72349,P,,,6/1/15,J1772
The George - Tesla,15 E St NW,Washington,DC,20001,202-347-4200  877-798-3752,E,,Public,Tesla,38.8963896,-77.0099571,72247,P,,,12/1/15,TESLA
The Emerson,225 S. Grand Avenue,Los Angeles,CA,90012,888-998-2546,E,,Public,Blink Network,34.054748,-118.248693,67002,,,,,J1772
Walsh Construction,307 S Sangamon,Chicago,IL,60607,,E,,Private,,41.87757111,-87.65041351,44878,P,,,3/15/12,J1772
HWS COLLEGES,287 Pulteney St,Geneva,NY,14456,888-758-4389,E,,Public,ChargePoint Network,42.8599629,-76.9843626,65651,,,,,J1772
COUNTY OF SB,4572 Calle Real,Goleta,CA,93110,888-758-4389,E,,Public,ChargePoint Network,34.4423657,-119.7810302,63724,,,,,J1772
SAN MARCOS,4015 S Interstate 35,San Marcos,TX,78666,888-758-4389,E,,Public,ChargePoint Network,29.8286592,-97.9832348,69749,,,,,J1772
Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,805-596-0857,E,,Public,,35.250422,-120.689154,35560,P,,,4/15/00,J1772
COA FACILITIES,1182 N Pleasant Valley Rd,Austin,TX,78702,888-758-4389,E,,Public,ChargePoint Network,30.2733485,-97.7147199,41271,,,,,NEMA520 J1772
BUSCH STADIUM,700 Clark Ave,St. Louis,MO,63102,888-758-4389,E,,Public,ChargePoint Network,38.6222165,-90.1950629,60023,,,,,NEMA520 J1772
BLDG3 8 (QR 2000264),20100 Rotunda Drive,Dearborn,MI,48124,888-998-2546,E,,Private,GE WattStation,42.2940687,-83.2288183,73999,,,,,J1772
Michigan Retailers Association,603 S Washington Ave,Lansing,MI,48933,,E,,Private,,42.72681,-84.551776,50847,P,,,11/15/12,J1772
Station D,1900  Prairie City Rd,Folsom,CA,95630,888-998-2546,E,,Private,GE WattStation,38.64430416,-121.164732,72935,,,,,J1772
BMW OF DENVER,900 S Colorado Blvd,Denver,CO,80246,888-758-4389,E,,Public,ChargePoint Network,39.6999357,-104.9398757,61641,,,,,J1772
Carrier Enterprise Outlet - Houston SE,11511 South Sam Houston Pkwy E,Houston,TX,77089,888-998-2546,E,,Public,Blink Network,29.601541,-95.215607,54839,,,,,J1772
LOGAN SQUARE,1815 Cherry St,Philadelphia,PA,19103,888-758-4389,E,,Public,ChargePoint Network,39.9561242,-75.169886,62142,,,,,J1772
Enchantment Resort and Mii Amo Spa,525 Boynton Canyon Rd,Sedona,AZ,86336,928-282-2900  877-798-3752,E,,Public,Tesla,34.9126912,-111.8529369,72219,P,,,12/1/15,TESLA J1772
"Walgreens - Poway, CA #12421",13390 Poway Rd,Poway,CA,92064,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,32.9566887,-117.0411735,44421,,,,,J1772
Coastal Nissan,109 Accord Park Dr,Norwell,MA,2061,781-610-1000,E,,Private,,42.1659,-70.887952,45905,P,,,1/31/12,J1772
929 Office Tower,"929 108th Ave., NESuite PA 122",Bellevue,WA,98004,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,47.6264794,-122.2051487,74315,,,,,J1772
EV CHARGER,2900 S Casino Dr,Laughlin,NV,89029,888-758-4389,E,,Public,ChargePoint Network,35.144642,-114.5765406,64864,,,,,J1772
Homewood Suites - Chester,12810 Old Stage Rd,Chester,VA,23836,804-751-0010,E,,Public,Greenlots,37.352354,-77.398164,65708,P,,,4/27/15,CHADEMO J1772COMBO
Mountain View Ford Lincoln,301 E 20th St,Chattanooga,TN,37408,423-756-1331,E,,Public,,35.030842,-85.305578,63597,P,,,9/1/13,J1772
Anderson Nissan,6555 E State St,Rockford,IL,61108,815-633-3460,E,,Private,,42.2676965,-88.9895863,47202,P,,,1/31/12,J1772
BEAM CHARGING,43-70 Kissena Blvd,Flushing,NY,11355,888-758-4389,E,,Public,ChargePoint Network,40.7535973,-73.8235931,38983,,,,,NEMA520 J1772
Park & Ride,1330 Oconee Street,Athens,GA,30605,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,33.9476519,-83.3579102,67836,,,,,J1772
UCSD - Birch Aquarium,2300 Expedition Way,La Jolla,CA,92037,888-998-2546,E,,Public,Blink Network,32.866417,-117.249628,52346,,,,,J1772
Goodwin Mitsubishi,2700 Broad St,Sumter,SC,29150,803-469-2595,E,,Public,,33.9626894,-80.4025423,46460,P,,,4/15/12,J1772
Kahala Mall,4211 Waialae Ave,Honolulu,HI,96816,808-732-7736,E,,Public,,21.277288,-157.7858592,45938,P,,,1/31/12,J1772
Jim Burke Ford,2001 Oak St,Bakersfield,CA,93301,,E,,Private,,35.377156,-119.039962,53895,P,,,11/1/13,J1772
FERMAN BMW,FL-55,Palm Harbor,FL,34683,888-758-4389,E,,Public,ChargePoint Network,28.0574979,-82.7395574,60494,,,,,J1772
MSU,Stadium Rd,East Lansing,MI,48864,888-758-4389,E,,Public,ChargePoint Network,42.7265511,-84.4839935,42728,,,,,J1772
ARCO AMPM,310 Orange Dr,Vacaville,CA,95687,888-758-4389,E,,Public,ChargePoint Network,38.3698018,-121.9545156,71282,,,,,J1772COMBO
Puente Hills Nissan,17320 E Gale Ave,City of Industry,CA,91748,626-626-2600,E,,Public - Call ahead,,33.997526,-117.927915,39877,P,,,3/15/11,J1772
Sutherlin Nissan Mall of Georgia,3520 Highway 20,Buford,GA,30519,678-714-1885,E,,Private,,34.075281,-83.98366,48376,P,,,3/15/11,J1772
OUC,77 W Underwood St,Orlando,FL,32806,888-758-4389,E,,Public,ChargePoint Network,28.5269852,-81.3793488,48091,,,,,NEMA520 J1772
Chase Bank - Corona,362 McKinley St.,Corona,CA,92879,877-455-3833,E,,Public - Card key at all times,eVgo Network,33.88630295,-117.5209579,69372,,,,,CHADEMO J1772COMBO
Marlboro Electric Co-op,254 US Highway 401,Bennettsville,SC,29512,843-479-3855,E,,Public,,34.6059682,-79.6852768,48630,LG,,,5/30/12,J1772
La Torretta Lake Resort and Spa - Tesla,600 La Torretta Blvd,Montgomery,TX,77356,936-448-4400  877-798-3752,E,,Public,Tesla,30.3951834,-95.6368829,75167,P,,,3/1/16,TESLA
Jersey Shore Premium Outlets,One Premium Outlets Blvd,Tinton Falls,NJ,7753,877-455-3833,E,,Public - Card key at all times,eVgo Network,40.22640991,-74.09357452,70718,,,,,CHADEMO
Kapolei Village Center,4850 Kapolei Pkwy,Kapolei,HI,96707,808-674-1114  855-885-9571,E,,Public,OpConnect,21.328992,-158.078498,65920,P,,,1/1/15,J1772 NEMA520
Ashland Town Hall,200 S Railroad Ave,Ashland,VA,23005,804-798-9219,E,,Public,,37.7583252,-77.4813714,52262,LG,,,4/1/13,J1772
RICHMOND,2540 Barrett Ave,Richmond,CA,94804,888-758-4389,E,,Public,ChargePoint Network,37.9380306,-122.3443344,50738,,,,,NEMA520 J1772
ROYAL FARMS,930 Cromwell Park Dr,Glen Burnie,MD,21061,888-758-4389,E,,Public,ChargePoint Network,39.1698838,-76.6452135,71283,,,,,CHADEMO
NRG eVgo - Victron Energy Freedom Station,3799 Houston School Rd,Lancaster,TX,75134,877-455-3833,E,,Public - Card key at all times,eVgo Network,32.64059,-96.80651,47111,P,,,8/15/12,J1772 CHADEMO
7-Eleven Convoy,4080 Convoy St,San Diego,CA,92111,877-455-3833,E,,Public - Card key at all times,eVgo Network,32.81658936,-117.1552353,69532,,,,,CHADEMO
Litchfield Beach and Golf Resort,14276 Ocean Hwy,Pawleys Island,SC,29585,800-845-1897  877-798-3752,E,,Public,Tesla,33.4851158,-79.0932656,71713,P,,,10/1/15,TESLA J1772
LIDA1,870 S Raymond Ave,Pasadena,CA,91105,888-758-4389,E,,Public,ChargePoint Network,34.131172,-118.1484138,67705,,,,,J1772
CITY OF OLATHE,136 S. Cherry,Olathe,KS,66061,888-758-4389,E,,Public,ChargePoint Network,38.8811417,-94.8187485,48058,,,,,J1772
MAIN HOSPITAL,12040 NE 128th St,Kirkland,WA,98034,888-758-4389,E,,Public,ChargePoint Network,47.714793,-122.1768689,63782,,,,,J1772
Walmart #S2774,7730 Sawmill Rd,Dublin,OH,43016,877-455-3833,E,,Public - Card key at all times,eVgo Network,40.12363815,-83.08708954,73962,,,,,J1772
Lane Avenue Parking Garage,2105  Neil Ave,Columbus,OH,43210,888-998-2546,E,,Public,GE WattStation,40.0060397,-83.014194,72740,,,,,J1772
Berlin City Nissan,485 Main St,Gorham,NH,3581,603-752-6644,E,,Public,,44.4233868,-71.1941538,49894,P,,,10/25/12,J1772
DTE Energy - Caniff Service Center,1201 Caniff St,Detroit,MI,48211,,E,,Private,,42.395383,-83.074263,40599,T,,,6/1/11,J1772
ADOBE-SAN JOSE,345 Park Ave,San Jose,CA,95110,888-758-4389,E,,Public,ChargePoint Network,37.330663,-121.8940403,72490,,,,,J1772
BMW GAINESVILLE,2810 N Main St,Gainesville,FL,32609,888-758-4389,E,,Public,ChargePoint Network,29.6784236,-82.3207774,66615,,,,,J1772
Mauna Kea Beach Resort,62-100 Mauna Kea Beach Dr,Kohala Coast,HI,96743,808-882-7222,E,,Public,OpConnect,20.005875,-155.823662,45972,P,,,5/25/12,J1772
Walgreens Store #7594,1416 HARVEY RD,AUBURN,WA,98002,888-998-2546,E,,Public,Blink Network,47.320683,-122.219786,52857,,,,,CHADEMO J1772
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,805-477-1917,E,,Public,,34.267352,-119.2124,21606,LG,,,10/19/12,J1772
